Age,Job,Saving accounts,Credit amount,Duration,Purpose,Sex_female,Sex_male,Housing_free,Housing_own,Housing_rent,Checking account_little,Checking account_moderate,Checking account_rich,Checking account_unknown
67,2,4,-0.7451314133870967,6,5,0,1,0,1,0,1,0,0,0
22,2,0,0.9498167893630399,48,5,1,0,0,1,0,0,1,0,0
49,1,0,-0.4165624079606273,12,3,0,1,0,1,0,0,0,0,1
45,2,0,1.634246939825297,42,4,0,1,1,0,0,1,0,0,0
53,2,0,0.5666635047179338,24,1,0,1,1,0,0,1,0,0,0
35,1,4,2.0500090146529657,36,3,0,1,1,0,0,0,0,0,1
53,2,2,-0.1546287563854807,24,4,0,1,0,1,0,0,0,0,1
35,3,0,1.3031968307979807,36,1,0,1,0,0,1,0,1,0,0
61,1,3,-0.07523344115837269,12,5,0,1,0,1,0,0,0,0,1
28,3,0,0.6956808919619843,30,1,0,1,0,1,0,0,1,0,0
25,2,0,-0.7004715485718485,12,1,1,0,0,0,1,0,1,0,0
24,2,0,0.3674663299070645,48,0,1,0,0,0,1,1,0,0,0
22,2,0,-0.6040629515103602,12,5,1,0,0,1,0,0,1,0,0
60,1,0,-0.734498112240609,24,1,0,1,0,1,0,1,0,0,0
28,2,0,-0.6621916644444927,15,1,1,0,0,0,1,1,0,0,0
32,1,1,-0.7050793124019931,24,5,1,0,0,1,0,1,0,0,0
53,2,4,-0.30030498209236195,24,5,0,1,0,1,0,0,0,0,1
25,2,4,1.701591180419719,30,0,0,1,0,1,0,1,0,0,0
44,3,0,3.2990674559937188,24,1,1,0,1,0,0,0,1,0,0
31,2,2,0.056265049686524994,24,5,0,1,0,1,0,0,0,0,1
48,2,0,-0.4030935598417429,9,1,0,1,0,1,0,0,0,0,1
44,2,2,-0.22126411023680354,6,5,0,1,0,0,1,1,0,0,0
48,1,0,-0.3651681190859368,10,1,0,1,0,0,1,1,0,0,0
44,2,1,-0.5200598724531074,12,1,0,1,0,1,0,0,1,0,0
26,2,4,-0.4261323789924662,10,4,0,1,0,1,0,0,0,0,1
36,1,0,-0.6724705222194308,6,4,0,1,0,1,0,1,0,0,0
39,1,0,-1.0084828384484417,6,5,0,1,0,1,0,0,0,0,1
42,2,3,-1.0145083757647846,12,5,1,0,0,0,1,0,0,1,0
34,2,0,-0.3034949724363083,7,5,0,1,0,1,0,0,1,0,0
63,2,0,1.2634991731844265,60,0,0,1,0,1,0,1,0,0,0
36,2,3,-0.48142554495420214,18,0,0,1,0,1,0,0,1,0,0
27,2,0,0.26538663890078273,24,4,0,1,0,1,0,1,0,0,0
30,2,1,0.9196891027813249,18,1,0,1,0,1,0,0,1,0,0
57,1,4,-0.7114592930898858,12,0,0,1,0,0,1,0,0,0,1
33,3,0,-0.637026185064472,12,4,1,0,0,1,0,0,0,1,0
25,1,0,0.5227125266457847,45,5,0,1,0,1,0,0,1,0,0
31,2,0,1.0061732854394247,48,3,0,1,1,0,0,0,0,0,1
37,2,0,-0.41514463447442895,18,5,0,1,0,1,0,0,0,1,0
37,2,0,-0.7252825845803197,10,2,0,1,0,1,0,0,0,1,0
24,2,0,-0.9971406505588548,9,5,0,1,0,1,0,0,1,0,0
30,3,2,-0.3325593289033746,30,5,0,1,0,1,0,0,0,0,1
26,2,2,-0.7490302904741422,12,5,0,1,0,1,0,0,1,0,0
44,1,0,1.039490962365086,18,6,0,1,0,1,0,0,1,0,0
24,2,1,1.033465425048743,30,1,0,1,0,0,1,1,0,0,0
58,1,0,1.0178699167005612,48,1,1,0,1,0,0,1,0,0,0
35,3,0,-0.6657360981599887,11,1,1,0,0,1,0,0,0,0,1
39,2,2,-0.34461040353606065,36,5,0,1,0,1,0,0,0,0,1
23,0,2,-0.6802682763935218,6,1,1,0,0,0,1,1,0,0,0
39,1,0,1.4024409748318656,11,1,0,1,0,1,0,0,0,0,1
28,2,1,-0.4247146055062679,12,5,1,0,0,1,0,0,0,0,1
29,1,4,-0.3325593289033746,24,4,0,1,0,1,0,0,1,0,0
30,3,0,0.9547789965647342,27,1,0,1,0,1,0,0,1,0,0
25,2,0,-0.7121681798329849,12,5,0,1,0,1,0,0,0,0,1
31,2,4,0.03783399436594634,18,1,0,1,0,1,0,0,0,0,1
57,2,0,-0.37083921303073025,36,1,0,1,1,0,0,0,1,0,0
26,1,4,-0.8819465548052382,6,1,0,1,0,1,0,0,0,0,1
52,3,4,1.1330640124541778,12,5,0,1,0,1,0,0,1,0,0
31,2,0,2.231129577514806,36,5,1,0,0,1,0,0,0,0,1
23,3,0,-0.46441226311982187,18,1,1,0,0,1,0,0,0,1,0
23,1,0,1.0483520466538259,36,4,1,0,0,0,1,1,0,0,0
27,2,0,-0.6664449849030879,9,0,0,1,0,1,0,0,1,0,0
50,2,4,-0.6146962526568478,15,5,0,1,0,1,0,0,1,0,0
61,3,0,-0.4672478100922186,36,0,0,1,1,0,0,0,1,0,0
25,2,0,3.9519521463880625,48,0,0,1,0,1,0,0,1,0,0
26,2,0,-0.03199134982932277,24,5,1,0,0,1,0,0,0,0,1
48,2,4,0.6800853836138023,27,6,0,1,0,1,0,0,0,0,1
29,2,0,-0.3899791550944081,12,5,1,0,0,1,0,0,0,0,1
22,2,3,-0.8025512395781302,12,1,0,1,0,1,0,0,1,0,0
37,2,0,-0.5147432218798635,36,3,0,1,1,0,0,0,0,0,1
25,2,4,-0.31093828323884964,36,5,1,0,0,1,0,0,0,0,1
30,2,0,1.723212226084244,36,1,1,0,0,1,0,0,0,0,1
46,1,4,-0.9007320534973665,7,5,0,1,0,0,1,0,0,0,1
51,3,0,-0.7469036302448446,8,7,0,1,1,0,0,1,0,0,0
41,1,0,0.9508801194776887,42,0,1,0,0,1,0,0,1,0,0
40,3,4,-0.45874116917502844,36,3,0,1,0,1,0,1,0,0,0
66,3,0,-0.6185951297438933,12,1,0,1,1,0,0,1,0,0,0
34,2,0,0.24589225346555532,42,5,0,1,0,1,0,1,0,0,0
51,2,0,0.5315736109345244,11,5,0,1,0,1,0,0,1,0,0
39,1,4,2.185051939213359,54,1,0,1,0,1,0,0,0,0,1
22,2,0,0.19875128504945994,30,4,0,1,0,1,0,0,1,0,0
44,2,4,0.9469812423906432,24,5,1,0,0,1,0,0,0,0,1
47,2,2,-0.7295359050389147,15,5,0,1,0,1,0,0,0,0,1
24,1,1,-0.6037085081388105,18,0,1,0,0,0,1,0,0,0,1
58,1,0,-0.5374275976590372,24,7,1,0,0,1,0,1,0,0,0
52,1,0,-0.3389393095912672,10,5,0,1,0,1,0,1,0,0,0
29,3,0,-0.6590016741005464,12,0,1,0,0,1,0,0,0,0,1
27,2,0,-0.7004715485718485,18,4,1,0,0,1,0,0,1,0,0
47,2,1,3.310764087254855,36,3,0,1,1,0,0,0,1,0,0
30,3,1,-0.36233257211354014,18,1,0,1,0,1,0,1,0,0,0
28,2,0,-0.7667524590516217,12,6,0,1,0,1,0,1,0,0,0
56,2,0,-0.9404297111109204,12,5,0,1,0,1,0,0,0,0,1
54,2,0,-0.6600650042151952,12,1,0,1,0,1,0,1,0,0,0
33,1,4,-0.8769843476035439,12,5,1,0,0,1,0,0,0,0,1
20,2,4,0.12254596016629822,24,4,0,1,0,0,1,0,0,1,0
54,2,3,-0.6923193510262079,12,1,0,1,0,1,0,0,1,0,0
58,2,0,4.492123844629637,54,0,0,1,0,0,1,0,1,0,0
61,2,4,-0.4463356511707928,12,3,1,0,0,1,0,0,0,0,1
34,2,1,-0.23012519452554325,18,0,0,1,0,1,0,0,1,0,0
36,2,0,-0.33114155541717627,36,5,0,1,0,1,0,0,1,0,0
36,3,4,1.3418311582968858,20,1,0,1,0,0,1,0,1,0,0
41,1,1,-0.6387984019222199,24,1,0,1,0,0,1,0,0,0,1
24,2,0,-0.3361037626188705,36,5,0,1,0,0,1,0,1,0,0
24,2,0,-0.8291344924443494,6,5,1,0,0,1,0,0,0,0,1
35,2,0,-0.4792988847249046,9,4,0,1,0,0,1,0,1,0,0
26,2,4,-0.2928616712898206,12,1,0,1,0,0,1,0,0,0,1
39,3,0,3.071869254830432,24,7,0,1,0,1,0,0,1,0,0
39,3,0,1.1295195787386818,18,1,0,1,0,1,0,0,0,0,1
32,2,0,0.9948310975498378,12,1,0,1,0,1,0,0,1,0,0
30,2,4,1.5771815570058132,24,4,1,0,0,1,0,1,0,0,0
35,2,2,-0.6597105608436457,14,0,0,1,0,1,0,0,1,0,0
31,2,1,-0.6458872693532116,6,0,0,1,0,1,0,0,1,0,0
23,2,0,-1.0205339130811277,15,3,1,0,0,0,1,0,0,1,0
28,1,0,1.0593397911718632,18,1,0,1,0,0,1,0,1,0,0
25,2,0,1.6246769687934581,36,1,1,0,0,1,0,0,0,0,1
35,2,2,-0.5640108505252565,12,5,0,1,0,1,0,1,0,0,0
47,2,4,0.10872266867586422,48,5,0,1,0,1,0,0,0,0,1
30,3,4,1.3833010327681878,42,5,1,0,0,1,0,1,0,0,0
27,2,4,-0.4038024465848421,10,4,1,0,0,0,1,1,0,0,0
23,2,2,0.3578963588752256,33,4,1,0,0,1,0,1,0,0,0
36,3,2,-0.3208626976422382,12,1,0,1,0,1,0,0,1,0,0
25,2,0,-0.5090721279350702,21,5,1,0,0,1,0,1,0,0,0
41,3,0,0.21151124642524516,24,1,1,0,0,0,1,0,0,0,1
24,1,0,-0.5328198338288926,12,4,0,1,0,0,1,0,0,0,1
63,2,0,-0.8826554415483374,10,1,0,1,1,0,0,0,0,1,0
27,2,4,-0.4775266678671567,18,4,1,0,0,0,1,0,1,0,0
30,2,0,-0.40770132367188755,12,1,0,1,0,1,0,1,0,0,0
40,1,0,-0.9110109112723046,12,5,0,1,0,1,0,1,0,0,0
30,2,0,-0.9329864003083791,12,6,0,1,0,1,0,0,1,0,0
34,3,0,-0.5002110436463304,12,1,0,1,0,1,0,0,1,0,0
29,2,0,0.08072164232344667,12,1,1,0,0,1,0,1,0,0,0
24,2,4,1.8486851796127988,48,1,1,0,0,1,0,0,1,0,0
29,2,0,1.2815757851334557,36,3,0,1,0,1,0,1,0,0,0
27,1,0,-0.19964306457227857,15,4,0,1,0,1,0,0,0,0,1
47,2,0,-0.4562600655741813,18,4,0,1,1,0,0,0,0,0,1
21,2,1,2.4359978462704683,60,5,1,0,0,1,0,0,0,0,1
38,2,4,-0.7199659340070759,12,5,1,0,0,1,0,0,0,0,1
27,2,3,1.893345044428047,27,1,0,1,0,1,0,0,0,0,1
66,1,2,-0.8879720921215812,12,5,0,1,0,1,0,0,1,0,0
35,2,4,-0.1925541971412868,15,5,0,1,0,1,0,0,1,0,0
44,1,0,-0.49276773284378905,12,5,1,0,0,0,1,0,0,1,0
27,0,3,-0.9081753642999079,6,1,0,1,0,1,0,0,0,1,0
30,3,0,0.5400802518517146,36,5,1,0,0,1,0,0,1,0,0
27,3,0,0.05130284248483074,27,5,0,1,0,1,0,1,0,0,0
22,2,0,-0.28683613397347757,18,4,0,1,0,1,0,1,0,0,0
23,2,0,-0.34850928062310615,21,4,1,0,0,1,0,0,0,0,1
30,2,1,0.10446934821726915,48,0,0,1,0,1,0,0,1,0,0
39,2,0,-0.8546544151959198,6,1,1,0,0,1,0,1,0,0,0
51,2,1,-0.9177453353317467,12,1,1,0,0,1,0,0,0,0,1
28,2,0,0.744239633864278,36,4,0,1,0,1,0,1,0,0,0
46,2,3,-0.5987463009371162,18,5,0,1,0,1,0,0,0,0,1
42,2,1,-0.6823949366228194,6,5,0,1,1,0,0,0,0,0,1
38,2,0,-0.4775266678671567,10,5,0,1,0,1,0,0,0,0,1
24,2,0,0.9133091220934322,36,5,0,1,0,1,0,0,0,1,0
29,2,3,1.590295961753148,24,1,1,0,0,0,1,0,1,0,0
36,3,1,1.309931254857423,24,0,0,1,0,0,1,0,1,0,0
20,2,0,-0.7050793124019931,12,4,1,0,0,0,1,1,0,0,0
48,2,1,-0.7029526521726955,9,6,0,1,0,1,0,1,0,0,0
45,1,0,-1.0393194117732558,12,3,0,1,0,1,0,1,0,0,0
38,2,1,0.08532940615359133,24,1,0,1,0,1,0,0,1,0,0
34,1,4,-0.486742195527446,6,5,0,1,0,1,0,0,0,0,1
36,2,1,-0.1415143516381459,24,5,0,1,0,1,0,0,0,0,1
30,2,0,-0.7855379577437499,18,1,1,0,0,1,0,0,0,0,1
36,2,2,-0.7121681798329849,15,2,0,1,0,1,0,0,0,0,1
70,3,0,1.4307964445558328,10,1,0,1,1,0,0,0,1,0,0
36,2,2,-0.83728668998999,36,1,0,1,0,1,0,0,0,0,1
32,2,2,-0.10394335425388943,6,4,0,1,0,1,0,0,0,0,1
33,2,0,-0.7586002615059811,18,4,1,0,0,1,0,1,0,0,0
20,2,3,-0.6005185177948642,11,4,1,0,0,1,0,0,1,0,0
25,2,0,0.24837335706640246,24,4,1,0,0,0,1,0,0,0,1
31,2,0,-0.4736277907801112,24,0,0,1,0,1,0,0,1,0,0
33,2,0,-0.8227545117564568,15,1,0,1,0,0,1,1,0,0,0
26,2,0,-0.88903542223623,12,4,1,0,0,1,0,0,0,0,1
34,3,0,-0.4279045958502142,24,4,1,0,0,1,0,0,1,0,0
33,2,0,-0.6582927873574473,8,5,0,1,0,1,0,0,1,0,0
26,2,0,0.05059395574173156,21,3,0,1,0,1,0,1,0,0,0
53,3,4,1.49353292132011,30,1,1,0,0,1,0,0,0,0,1
42,2,0,-0.2460751462452748,12,4,0,1,0,1,0,1,0,0,0
52,2,2,-1.0396738551448055,6,5,0,1,0,1,0,1,0,0,0
31,3,0,-0.4637033763767227,12,5,0,1,0,0,1,0,0,0,1
65,2,0,-0.9570885495737512,21,1,0,1,0,1,0,1,0,0,0
28,2,0,2.2332562377441034,36,0,0,1,0,1,0,0,0,0,1
30,3,0,0.41956950552485417,36,0,0,1,0,1,0,0,1,0,0
40,1,4,-0.575707481786393,21,1,0,1,0,1,0,1,0,0,0
50,2,3,0.17925689961423252,24,4,0,1,0,1,0,0,0,0,1
36,2,0,-0.8461477742787297,18,1,0,1,0,1,0,0,1,0,0
31,2,0,-0.6774327294211251,15,5,0,1,0,1,0,0,0,0,1
74,3,0,0.6584643379492774,9,1,1,0,1,0,0,0,1,0,0
68,0,0,-0.7430047531577991,16,1,0,1,1,0,0,0,1,0,0
20,2,1,-0.9205808823041435,12,5,0,1,0,1,0,1,0,0,0
33,2,0,-0.009661417421698642,18,4,1,0,0,1,0,0,1,0,0
54,3,3,0.4677738040555983,24,0,0,1,0,1,0,0,0,0,1
34,1,1,0.20300460550805502,48,0,0,1,1,0,0,0,1,0,0
36,2,0,0.22817008488807586,27,0,0,1,0,1,0,0,1,0,0
29,2,0,-0.4123090875020322,6,5,0,1,0,0,1,0,0,0,1
21,2,1,-0.08515785556176118,45,5,0,1,0,0,1,0,1,0,0
34,3,0,-0.627456214032633,9,3,1,0,0,1,0,0,1,0,0
28,2,0,-0.6696349752470342,6,5,1,0,0,1,0,0,0,0,1
27,2,1,-0.8224000683849072,12,4,1,0,0,0,1,0,1,0,0
36,2,4,-0.18121200925169992,24,1,0,1,1,0,0,0,1,0,0
40,3,0,0.363567452820019,18,4,0,1,0,1,0,0,1,0,0
52,2,2,-0.827716718958151,9,3,0,1,0,1,0,0,0,0,1
27,1,0,-0.7454858567586463,12,1,0,1,0,1,0,1,0,0,0
26,2,0,0.6542110174906823,27,0,0,1,0,1,0,0,0,0,1
21,2,0,-0.8397677935908371,12,3,0,1,0,0,1,1,0,0,0
38,1,0,-0.6295828742619306,12,1,0,1,0,1,0,0,0,0,1
38,3,0,2.6057762212427216,30,1,0,1,1,0,0,1,0,0,0
43,2,0,-0.4736277907801112,12,4,0,1,0,1,0,0,0,0,1
26,2,0,-0.6547483536419514,12,2,0,1,0,1,0,0,1,0,0
21,1,0,1.1685083496091366,24,0,0,1,0,1,0,1,0,0,0
55,2,3,-0.6586472307289969,12,1,0,1,0,1,0,0,0,0,1
33,2,4,-0.06991679058512884,9,5,0,1,0,1,0,0,0,0,1
45,1,4,0.1998146151641087,36,5,1,0,0,1,0,0,0,0,1
50,2,0,0.7165930508834101,27,0,0,1,0,1,0,1,0,0,0
66,3,0,-0.4831977618119501,30,0,0,1,0,1,0,0,0,1,0
51,2,4,0.025074032990161123,36,5,0,1,0,1,0,0,0,0,1
39,1,4,-0.8291344924443494,6,3,1,0,0,1,0,0,1,0,0
31,2,0,-0.05928348943864116,18,0,0,1,0,1,0,1,0,0,0
23,2,0,0.22746119814497667,36,5,0,1,0,1,0,0,0,1,0
24,1,0,-0.08870228927725708,24,4,0,1,0,0,1,1,0,0,0
64,2,0,-0.6760149559349268,10,1,1,0,0,1,0,0,0,0,1
26,1,0,-0.9379486075100734,12,5,0,1,0,1,0,0,1,0,0
23,2,4,-0.7341436688690595,12,3,1,0,0,0,1,1,0,0,0
30,2,0,-0.908884251043007,12,5,0,1,0,1,0,0,0,0,1
32,2,4,-0.10394335425388943,24,0,0,1,0,1,0,0,0,0,1
30,2,0,0.49116706657787124,15,1,0,1,0,1,0,0,0,0,1
27,2,0,-0.23331518486948957,36,6,0,1,0,1,0,0,0,0,1
27,2,3,2.725578080826483,48,5,0,1,0,1,0,0,1,0,0
53,3,0,1.628221402508954,12,4,0,1,1,0,0,1,0,0,0
22,2,0,-0.6356084115782735,9,5,0,1,0,1,0,0,0,0,1
22,2,0,-0.04333353771890964,24,4,0,1,1,0,0,1,0,0,0
26,2,0,0.33273087949520475,36,5,0,1,0,1,0,0,0,1,0
51,1,2,-0.27088618225374606,9,1,0,1,1,0,0,0,0,0,1
35,2,1,-0.40061245624089575,12,5,0,1,0,1,0,0,0,0,1
25,1,0,-0.8525277549666223,18,5,0,1,0,1,0,0,1,0,0
42,1,0,-0.6122151490560007,4,5,0,1,0,1,0,0,0,0,1
30,3,0,-0.5133254483936652,24,5,0,1,0,1,0,1,0,0,0
23,0,4,3.9994475581757074,6,1,0,1,0,1,0,0,1,0,0
61,1,1,-0.1787309056508528,21,0,0,1,0,0,1,0,1,0,0
35,2,0,-0.7018893220580468,12,5,1,0,0,1,0,0,0,0,1
39,2,0,-0.2655695316805022,30,5,0,1,0,1,0,1,0,0,0
29,2,4,-0.8351600297606924,24,1,1,0,0,1,0,1,0,0,0
51,2,0,-0.5941385371069716,6,5,0,1,0,1,0,0,0,0,1
24,2,0,0.4727360112572926,48,1,0,1,1,0,0,1,0,0,0
27,2,0,-0.7394603194423033,12,0,1,0,0,1,0,0,0,0,1
35,1,2,0.06229058700286801,12,3,1,0,0,1,0,0,0,0,1
25,2,0,-0.7135859533191833,24,0,0,1,0,1,0,0,0,0,1
52,2,0,-0.9053398173275111,12,5,0,1,0,1,0,0,0,0,1
35,2,1,-0.732725895382861,6,1,0,1,0,0,1,0,0,0,1
26,2,0,-0.4771722244956071,24,4,0,1,0,1,0,0,0,1,0
22,2,0,-1.0060017348475945,18,5,1,0,0,0,1,0,0,0,1
39,1,3,-0.9234164292765402,6,1,1,0,0,1,0,1,0,0,0
46,1,0,-0.36162368537044093,12,4,1,0,0,1,0,0,0,1,0
24,2,0,-0.39742246589694946,30,1,1,0,0,1,0,0,1,0,0
35,2,1,0.31181872057377896,24,4,0,1,0,1,0,0,0,0,1
24,2,4,-0.4399556704829002,9,4,0,1,0,1,0,0,1,0,0
27,1,4,1.4697852154262876,60,5,0,1,0,1,0,0,1,0,0
35,1,0,-0.20814970548946873,24,5,0,1,0,1,0,0,0,0,1
29,2,0,-0.39777690926849907,12,5,0,1,1,0,0,1,0,0,0
23,2,1,0.19166241761846814,15,1,1,0,0,1,0,0,0,0,1
57,1,1,-0.7504480639603406,11,5,1,0,0,1,0,0,0,0,1
27,2,0,-0.572163048070897,12,4,0,1,0,1,0,1,0,0,0
55,2,0,-0.5913029901345749,24,5,1,0,0,1,0,1,0,0,0
36,3,0,0.7197830412273564,18,1,0,1,1,0,0,1,0,0,0
57,1,0,-0.185465329710295,12,3,1,0,1,0,0,0,0,0,1
32,1,0,-0.7231559243510222,10,1,0,1,0,1,0,0,0,0,1
37,2,0,-0.8752121307457961,15,5,0,1,0,1,0,0,1,0,0
36,2,4,1.074935299520045,36,0,0,1,0,1,0,0,0,0,1
38,2,0,-0.6161140261430461,24,5,1,0,0,1,0,0,0,0,1
45,3,0,2.0227168750436473,14,1,0,1,0,1,0,1,0,0,0
25,2,4,-0.8053867865505269,24,5,0,1,0,1,0,0,0,0,1
32,2,4,-0.2159474596635597,18,1,0,1,0,1,0,0,0,0,1
37,2,2,-0.6625461078160424,12,4,1,0,0,0,1,0,0,0,1
36,3,4,3.153745673658387,48,1,0,1,1,0,0,0,1,0,0
28,2,0,-0.0748789977868231,48,5,0,1,0,1,0,0,1,0,0
34,1,0,3.093135857123407,30,6,0,1,0,1,0,1,0,0,0
32,2,0,-0.20354194165932407,9,5,0,1,0,1,0,0,0,0,1
26,2,0,-0.30739384952335375,18,5,1,0,0,1,0,0,0,0,1
49,1,4,-0.7121681798329849,12,4,0,1,0,1,0,1,0,0,0
32,2,0,0.4748626714865901,6,4,1,0,0,1,0,0,0,0,1
29,3,1,-0.48567886541279726,24,5,0,1,0,0,1,0,0,0,1
23,2,3,0.03428956065045045,15,1,0,1,0,0,1,0,0,0,1
50,2,0,-0.601581847909513,12,4,0,1,0,1,0,0,0,0,1
49,1,4,-0.64730504283941,18,5,0,1,0,1,0,0,0,1,0
63,2,4,-0.6207217899731908,15,4,0,1,0,1,0,0,0,0,1
37,2,1,0.21505568014074106,24,1,0,1,0,1,0,0,1,0,0
35,1,0,2.6408661150261312,47,1,1,0,0,1,0,1,0,0,0
26,2,0,0.5375991482508674,48,1,0,1,0,1,0,1,0,0,0
31,3,1,1.5279139283604204,48,7,0,1,1,0,0,0,1,0,0
49,2,0,-0.7724235529964151,12,5,1,0,0,1,0,0,1,0,0
48,2,0,-0.7965257022617872,24,5,0,1,0,1,0,1,0,0,0
26,2,0,-0.7780946469412086,12,0,0,1,0,1,0,0,0,0,1
28,3,0,2.1715830910944747,36,1,0,1,0,0,1,0,1,0,0
44,3,0,1.1156962872482479,24,1,1,0,1,0,0,1,0,0,0
56,2,0,0.5404346952232641,42,1,0,1,1,0,0,0,0,1,0
46,3,4,1.544572766823251,48,0,0,1,0,1,0,0,0,0,1
26,2,0,2.370780265905344,48,4,1,0,0,1,0,0,1,0,0
20,2,4,0.4975470472657638,12,1,1,0,0,0,1,0,0,0,1
45,1,4,-0.7033070955442452,10,1,0,1,0,1,0,0,0,0,1
43,2,0,-0.2680506352813493,18,4,0,1,0,1,0,0,0,0,1
32,2,3,-0.18652865982494377,21,4,0,1,0,1,0,0,1,0,0
54,0,0,-0.9212897690472427,6,1,1,0,0,1,0,0,0,0,1
42,2,0,0.18882687064607143,36,5,1,0,0,1,0,0,1,0,0
37,1,4,-0.6831038233659186,24,1,0,1,0,1,0,0,0,1,0
49,2,0,-0.7915634950600929,10,1,0,1,0,1,0,1,0,0,0
44,2,2,2.429972308954125,48,1,0,1,1,0,0,0,0,0,1
33,2,3,-0.6125695924275503,6,4,0,1,0,1,0,0,0,0,1
24,1,4,0.545751345796508,30,1,1,0,0,0,1,0,0,0,1
33,1,1,-0.9017953836120153,12,5,0,1,0,1,0,1,0,0,0
24,2,0,-0.7210292641217246,8,4,1,0,0,1,0,0,1,0,0
22,1,0,-1.06164934418088,9,1,0,1,0,0,1,0,1,0,0
40,0,4,0.747784067579774,48,7,0,1,1,0,0,0,1,0,0
25,2,1,0.7938617058812206,24,4,0,1,0,1,0,0,0,0,1
26,2,0,0.169332485210844,24,4,1,0,0,1,0,0,0,1,0
25,1,0,-0.916682005217098,12,1,0,1,0,1,0,0,1,0,0
29,1,4,-0.6299373176334802,4,1,0,1,0,1,0,0,0,1,0
31,2,0,-0.1861742164533942,36,4,0,1,0,1,0,1,0,0,0
38,1,0,-0.9085298076714574,12,4,0,1,0,1,0,1,0,0,0
48,1,4,0.38270739488369687,24,4,1,0,0,1,0,0,1,0,0
32,2,0,-0.9110109112723046,12,3,0,1,0,1,0,0,0,0,1
27,1,0,0.13176148782658753,15,4,1,0,0,1,0,1,0,0,0
28,3,0,0.34655417098563873,30,1,0,1,0,1,0,0,1,0,0
32,2,0,-0.4725644606654624,24,5,0,1,0,1,0,1,0,0,0
34,3,0,-0.1280455035192615,24,1,0,1,1,0,0,1,0,0,0
28,2,3,-0.21701078977820845,18,4,0,1,0,1,0,1,0,0,0
36,2,0,-0.7951079287755888,18,1,1,0,0,1,0,0,0,0,1
39,1,0,0.04492286179693813,8,1,0,1,0,1,0,1,0,0,0
49,2,4,0.8966502836306015,12,4,0,1,0,0,1,0,0,0,1
34,2,3,-0.6189495731154429,24,1,1,0,0,1,0,0,0,0,1
31,2,0,0.42594948621274675,36,5,0,1,0,1,0,0,0,1,0
28,2,0,-0.7809301939136052,6,5,0,1,0,1,0,0,1,0,0
75,3,0,1.1851671880719674,24,1,0,1,1,0,0,1,0,0,0
